flightn,airline,dep_time,dep_port,arr_time,arr_port,craft_type
UA1964,United Airlines,8:30 AM,IAD,11:35 AM,SEA,Boeing 737-900
UA0326,United Airlines,5:30 PM,IAD,8:30 PM,SEA,Boeing 737-900
UA2198,United Airlines,6:15 AM,ORD,9:00 AM,IAD,Airbus A320
UA0714,United Airlines,9:00 AM,ORD,11:50 AM,IAD,Airbus A319
UA0340,United Airlines,1:00 PM,ORD,3:47 PM,IAD,Airbus A320
UA0843,United Airlines,6:15 PM,ORD,9:13 PM,IAD,Airbus A320
UA2000,United Airlines,9:15 PM,ORD,11:59 PM,IAD,Boeing 737-900
UA0433,United Airlines,6:00 AM,BOS,9:50 AM,SFO,Boeing 757-200
UA0207,United Airlines,8:15 AM,BOS,12:08 PM,SFO,Boeing 757-200
UA0477,United Airlines,10:30 AM,BOS,2:24 PM,SFO,Boeing 757-200
UA0351,United Airlines,3:40 PM,BOS,7:36 PM,SFO,Boeing 757-200
UA2400,United Airlines,5:53 PM,BOS,9:50 PM,SFO,Boeing 757-200
UA0647,United Airlines,5:45 AM,BOS,8:33 AM,DEN,Boeing 737-900
UA0416,United Airlines,9:34 AM,BOS,12:22 PM,DEN,Boeing 737-800
UA0652,United Airlines,11:52 AM,BOS,2:40 PM,DEN,Boeing 737-800
UA0448,United Airlines,3:17 PM,BOS,6:10 PM,DEN,Boeing 737-900
UA0449,United Airlines,7:00 AM,BOS,9:00 AM,ORD,Boeing 737-900
UA1251,United Airlines,10:00 AM,BOS,12:00 PM,ORD,Airbus A320
UA1564,United Airlines,12:51 PM,BOS,2:49 PM,ORD,Airbus A319
UA0599,United Airlines,4:40 PM,BOS,6:38 PM,ORD,Airbus A320
UA0439,United Airlines,6:25 PM,BOS,8:23 PM,ORD,Airbus A320
UA0789,United Airlines,7:59 PM,BOS,9:57 PM,ORD,Airbus A320
UA0389,United Airlines,5:55 AM,BOS,7:35 AM,IAD,Boeing 737-900
UA0525,United Airlines,9:45 AM,BOS,11:25 AM,IAD,Boeing 737-900
UA0511,United Airlines,2:35 PM,BOS,4:19 PM,IAD,Boeing 737-900
UA2136,United Airlines,7:30 PM,BOS,9:13 PM,IAD,Airbus A319
UA0572,United Airlines,6:00 AM,IAD,9:14 AM,SFO,Boeing 737-900
UA0424,United Airlines,8:15 AM,IAD,11:31 AM,SFO,Boeing 757-200
UA2008,United Airlines,12:35 PM,IAD,3:47 PM,SFO,Boeing 737-800
UA0560,United Airlines,4:00 PM,IAD,7:12 PM,SFO,Boeing 737-900
UA0340,United Airlines,5:30 PM,IAD,8:29 PM,SFO,Boeing 777-200
UA1893,United Airlines,6:45 PM,IAD,10:00 PM,SFO,Boeing 757-200
UA2110,United Airlines,5:50 PM,IAD,9:07 PM,PHX,Boeing 737-900
UA1108,United Airlines,5:25 AM,IAD,7:21 AM,DEN,Boeing 737-900
UA1889,United Airlines,8:15 AM,IAD,10:15 AM,DEN,Boeing 787-8 Dreamliner
UA1908,United Airlines,12:50 PM,IAD,2:52 PM,DEN,Boeing 737-900
UA0542,United Airlines,4:00 PM,IAD,6:02 PM,DEN,Boeing 737-900
UA0980,United Airlines,5:30 PM,IAD,7:40 PM,DEN,Boeing 737-900
UA2305,United Airlines,7:35 PM,IAD,9:32 PM,DEN,Boeing 737-800
UA2368,United Airlines,8:25 AM,IAD,10:28 AM,ATL,Airbus A319
UA1846,United Airlines,6:00 AM,IAD,7:05 AM,ORD,Boeing 737-700
UA0374,United Airlines,8:15 AM,IAD,9:31 AM,ORD,Boeing 737-900
UA0721,United Airlines,10:30 AM,IAD,11:41 AM,ORD,Airbus A320
UA0276,United Airlines,12:45 PM,IAD,1:55 PM,ORD,Airbus A319
UA1924,United Airlines,5:20 PM,IAD,6:35 PM,ORD,Airbus A320
UA0552,United Airlines,10:15 PM,IAD,11:22 PM,ORD,Airbus A320
UA0641,United Airlines,8:30 AM,IAD,10:09 AM,BOS,Airbus A320
UA0655,United Airlines,12:45 PM,IAD,2:19 PM,BOS,Boeing 737-900
UA0822,United Airlines,5:15 PM,IAD,6:47 PM,BOS,Airbus A319
UA0352,United Airlines,10:15 PM,IAD,11:49 PM,BOS,Boeing 737-900
